кот,cat
собака,dog
солнце,sun
луна,moon
машина,car
дом,house
счастье,happiness
большой,big
маленький,small
красивый,beautiful
умный,smart
быстро,fast
медленно,slow
вода,water
друг,friend
семья,family
работа,work
школа,school
учитель,teacher
студент,student
книга,book
ручка,pen
карандаш,pencil
стол,table
стул,chair
дверь,door
окно,window
город,city
деревня,village
улица,street
парк,park
магазин,shop
еда,food
огонь,fire
земля,earth
небо,sky
птица,bird
рыба,fish
лошадь,horse
корова,cow
свинья,pig
курица,chicken
яблоко,apple
банан,banana
апельсин,orange
лимон,lemon
хлеб,bread
молоко,milk
сыр,cheese
мясо,meat
овощи,vegetables
фрукты,fruits
утро,morning
день,day
вечер,evening
ночь,night
понедельник,Monday
вторник,Tuesday
среда,Wednesday
четверг,Thursday
пятница,Friday
суббота,Saturday
воскресенье,Sunday
зима,winter
весна,spring
лето,summer
осень,autumn
холодно,cold
жарко,hot
тепло,warm
солнечно,sunny
дождливо,rainy
снежно,snowy
радость,joy
грусть,sadness
страх,fear
любовь,love
ненависть,hate
мир,peace
война,war
жизнь,life
смерть,death
мать,mother
отец,father
брат,brother
сестра,sister
бабушка,grandmother
дедушка,grandfather
дядя,uncle
тётя,aunt
ребёнок,child
взрослый,adult
старый,old
молодой,young
новый,new
хороший,good
плохой,bad
весёлый,funny
грустный,sad
интересный,interesting
скучный,boring
лёгкий,easy
тяжёлый,hard
красный,red
синий,blue
зелёный,green
жёлтый,yellow
чёрный,black
белый,white
розовый,pink
фиолетовый,purple
оранжевый,orange
коричневый,brown
идти,go
бежать,run
сидеть,sit
стоять,stand
спать,sleep
есть,eat
пить,drink
говорить,speak
смотреть,watch
видеть,see
слышать,hear
думать,think
знать,know
понимать,understand
помнить,remember
забывать,forget
хотеть,want
мочь,can
нужно,need
помогать,help
работать,work
учиться,study
играть,play
читать,read
писать,write
рисовать,draw
петь,sing
танцевать,dance
покупать,buy
продавать,sell
давать,give
брать,take
открывать,open
закрывать,close
начинать,start
заканчивать,finish
продолжать,continue
останавливаться,stop
ждать,wait
искать,search
находить,find
терять,lose
получать,receive
отправлять,send
делать,do
создавать,create
уничтожать,destroy
строить,build
ломать,break
чинить,fix
расти,grow
падать,fall
подниматься,rise
спускаться,descend
входить,enter
выходить,exit
приходить,come
уходить,leave
возвращаться,return
менять,change
оставаться,stay
двигаться,move
бросать,throw
ловить,catch
резать,cut
печатать,print
удалять,delete
сохранять,save
отвечать,answer
спрашивать,ask
объяснять,explain
повторять,repeat
слушать,listen
кричать,shout
смеяться,laugh
плакать,cry
улыбаться,smile
удивляться,be surprised
бояться,be afraid
злиться,be angry
радоваться,be happy
волноваться,worry
надеяться,hope
верить,believe
сомневаться,doubt
учить,learn
преподавать,teach
болеть,be sick
выздоравливать,recover
проверять,check
исправлять,correct
ошибаться,be wrong
спорить,argue
соглашаться,agree
отказываться,refuse
предлагать,offer
советовать,advise
решать,decide
пробовать,try
получаться,succeed
проваливаться,fail
улучшать,improve
ухудшать,worsen
развивать,develop
исчезать,disappear
появляться,appear
жить,live
умирать,die
встречать,meet
дружить,be friends
ссориться,quarrel
путешествовать,travel
отдыхать,rest
праздновать,celebrate
готовить,cook
убирать,clean
мыть,wash
сушить,dry
одеваться,dress up
обуваться,put on shoes
причёсываться,comb hair
бриться,shave
купаться,bathe
чистить зубы,brush teeth
завтракать,have breakfast
обедать,have lunch
ужинать,have dinner
плавать,swim
нырять,dive
прыгать,jump
ходить,walk
ездить,ride
летать,fly
водить машину,drive
исследовать,explore
открывать,discover
достигать,reach
преодолевать,overcome
побеждать,win
проигрывать,lose
соревноваться,compete
тренироваться,train
осознавать,realize
запоминать,memorize
вспоминать,recall
замечать,notice
наблюдать,observe
изучать,study
анализировать,analyze
сравнивать,compare
разделять,divide
соединять,connect
смешивать,mix
собирать,collect
организовывать,organize
планировать,plan
готовиться,prepare
завершать,complete
прерывать,interrupt
ускорять,speed up
замедлять,slow down
увеличивать,increase
уменьшать,decrease
расширять,expand
сужать,narrow
упрощать,simplify
усложнять,complicate
использовать,use
применять,apply
заменять,replace
перемещать,move
переносить,carry
доставлять,deliver
обменивать,exchange
одалживать,lend
занимать,borrow
торговать,trade
потреблять,consume
экономить,save
тратить,spend
зарабатывать,earn
восстанавливать,restore
сохранять,preserve
защищать,protect
атаковать,attack
обороняться,defend
бороться,fight
убегать,escape
преследовать,pursue
догонять,catch up
обгонять,overtake
лидировать,lead
следовать,follow
соответствовать,match
противоречить,contradict
доказывать,prove
опровергать,refute
признавать,admit
настаивать,insist
требовать,demand
приказывать,order
командовать,command
выполнять,obey
нарушать,violate
наказывать,punish
награждать,reward
поощрять,encourage
помогать,help
мешать,disturb
поддерживать,support
препятствовать,prevent
разрешать,allow
запрещать,forbid
позволять,permit
ограничивать,restrict
контролировать,control
управлять,manage
руководить,lead
подчиняться,obey
